theory_id,paper_url,paper_name,paper_year
3,https://pubmed.ncbi.nlm.nih.gov/34600936/,Brain aging mechanisms with mechanical manifestations.,2021
7,https://pubmed.ncbi.nlm.nih.gov/35183431/,Targeting aging mechanisms: pharmacological perspectives.,2022
2,https://pubmed.ncbi.nlm.nih.gov/33502634/,Aging and age-related diseases: from mechanisms to therapeutic strategies.,2021
2,https://pubmed.ncbi.nlm.nih.gov/37724254/,Ovarian aging: mechanisms and intervention strategies.,2022
4,https://pubmed.ncbi.nlm.nih.gov/31538262/,D-Galactose-induced accelerated aging model: an overview.,2019
10,https://pubmed.ncbi.nlm.nih.gov/38216430/,Emerging epigenetic insights into aging mechanisms and interventions.,2024
4,https://pubmed.ncbi.nlm.nih.gov/35379822/,Adipose tissue aging: mechanisms and therapeutic implications.,2022
3,https://pubmed.ncbi.nlm.nih.gov/37548938/,Role and Potential Mechanisms of Nicotinamide Mononucleotide in Aging.,2024
1,https://pubmed.ncbi.nlm.nih.gov/31324014/,Longevity: Lesson from Model Organisms.,2019
1,https://pubmed.ncbi.nlm.nih.gov/36235150/,Selenium: An Antioxidant with a Critical Role in Anti-Aging.,2022
0,https://pubmed.ncbi.nlm.nih.gov/37863056/,Liquid-biopsy proteomics combined with AI identifies cellular drivers of eye aging and disease in vivo.,2023
2,https://pubmed.ncbi.nlm.nih.gov/11035783/,Aging mechanisms.,2000
0,https://pubmed.ncbi.nlm.nih.gov/37302556/,Aging - What it is and how to measure it.,2023
1,https://pubmed.ncbi.nlm.nih.gov/36363994/,The Role of Astaxanthin as a Nutraceutical in Health and Age-Related Conditions.,2022
5,https://pubmed.ncbi.nlm.nih.gov/40562035/,Hallmarks of stem cell aging.,2025
4,https://pubmed.ncbi.nlm.nih.gov/23454759/,Cellular senescence and the senescent secretory phenotype: therapeutic opportunities.,2013
2,https://pubmed.ncbi.nlm.nih.gov/29178613/,Aging mechanisms and intervention targets.,2017
0,https://pubmed.ncbi.nlm.nih.gov/23868700/,"Aging-mechanisms, models, and translation.",2013
5,https://pubmed.ncbi.nlm.nih.gov/31896747/,Gut stem cell aging is driven by mTORC1 via a p38 MAPK-p53 pathway.,2020
0,https://pubmed.ncbi.nlm.nih.gov/26783417/,Oxidative Stress in Disease and Aging: Mechanisms and Therapies.,2016
7,https://pubmed.ncbi.nlm.nih.gov/39198086/,Uncovering key mechanisms and intervention therapies in aging skin.,2024
10,https://pubmed.ncbi.nlm.nih.gov/35059451/,Targeting Epigenetic Mechanisms in Vascular Aging.,2021
0,https://pubmed.ncbi.nlm.nih.gov/30344885/,Oxidative Stress in Disease and Aging: Mechanisms and Therapies 2018.,2018
0,https://pubmed.ncbi.nlm.nih.gov/28246551/,Oxidative Stress in Disease and Aging: Mechanisms and Therapies 2016.,2017
4,https://pubmed.ncbi.nlm.nih.gov/39599617/,Immune Alterations with Aging: Mechanisms and Intervention Strategies.,2024
1,https://pubmed.ncbi.nlm.nih.gov/37112075/,Investigation of Polymer Aging Mechanisms Using Molecular Simulations: A Review.,2023
4,https://pubmed.ncbi.nlm.nih.gov/40609646/,"Osteoimmunology and aging: Mechanisms, implications, and therapeutic perspectives.",2025
1,https://pubmed.ncbi.nlm.nih.gov/26268334/,The Essential Mechanisms of Aging: What Have We Learnt in Ten Years?,2016
2,https://pubmed.ncbi.nlm.nih.gov/38993782/,"Immune aging: biological mechanisms, clinical symptoms, and management in lung transplant recipients.",2024
1,https://pubmed.ncbi.nlm.nih.gov/33668479/,Dietary Anti-Aging Polyphenols and Potential Mechanisms.,2021
0,https://pubmed.ncbi.nlm.nih.gov/21028967/,Highlight: The biology of aging: mechanisms and intervention.,2010
1,https://pubmed.ncbi.nlm.nih.gov/39595612/,"Organoids as Tools for Investigating Skin Aging: Mechanisms, Applications, and Insights.",2024
5,https://pubmed.ncbi.nlm.nih.gov/37872391/,Adult neurogenesis and aging mechanisms: a collection of insights.,2023
9,https://pubmed.ncbi.nlm.nih.gov/33378272/,ARDD 2020: from aging mechanisms to interventions.,2020
0,https://pubmed.ncbi.nlm.nih.gov/27493973/,"An Update on Inflamm-Aging: Mechanisms, Prevention, and Treatment.",2016
9,https://pubmed.ncbi.nlm.nih.gov/40886472/,Liver aging: underlying mechanisms and therapeutic strategies.,2025
1,https://pubmed.ncbi.nlm.nih.gov/39403409/,Unveiling mechanisms of lung aging in COPD: A promising target for therapeutics development.,2024
